date,code,open,high,low,close,volume,turn,peTTM,psTTM,pcfNcfTTM,pbMRQ,roeAvg
2025-04-08,sh.600028,5.208078,5.457912,5.198469,5.448303,339001591.0,0.3574,13.667768,0.223663,-22.573084,0.838697,0.061896
2025-04-09,sh.600028,5.429085,5.448303,5.304168,5.409867,207901445.0,0.2192,13.571347,0.222085,-22.413838,0.832781,0.061896
2025-04-10,sh.600028,5.448303,5.457912,5.342604,5.371431,168645059.0,0.1778,13.474925,0.220507,-22.254592,0.826864,0.061896
2025-04-11,sh.600028,5.371431,5.371431,5.304168,5.342604,115225544.0,0.1215,13.402609,0.219324,-22.135158,0.822426,0.061896
2025-04-14,sh.600028,5.342604,5.400258,5.332995,5.390649,127403489.0,0.1343,13.523136,0.221296,-22.334215,0.829822,0.061896
2025-04-15,sh.600028,5.371431,5.429085,5.361822,5.429085,128710686.0,0.1357,13.619557,0.222874,-22.493461,0.835739,0.061896
2025-04-16,sh.600028,5.409867,5.515566,5.400258,5.505957,150243226.0,0.1584,13.812401,0.22603,-22.811952,0.847572,0.061896
2025-04-17,sh.600028,5.505957,5.505957,5.438694,5.505957,100159798.0,0.1056,13.812401,0.22603,-22.811952,0.847572,0.061896
2025-04-18,sh.600028,5.486739,5.525175,5.467521,5.505957,72774302.0,0.0767,13.812401,0.22603,-22.811952,0.847572,0.061896
2025-04-21,sh.600028,5.486739,5.515566,5.429085,5.438694,109499616.0,0.1155,13.643663,0.223269,-22.533272,0.837218,0.061896
2025-04-22,sh.600028,5.438694,5.505957,5.429085,5.467521,102404340.0,0.108,13.715979,0.224452,-22.652707,0.841656,0.061896
2025-04-23,sh.600028,5.496348,5.496348,5.448303,5.457912,75735469.0,0.0799,13.691874,0.224058,-22.612895,0.840177,0.061896
2025-04-24,sh.600028,5.448303,5.486739,5.448303,5.47713,77287467.0,0.0815,13.740084,0.224847,-22.692518,0.843135,0.061896
2025-04-25,sh.600028,5.47713,5.486739,5.438694,5.457912,75293856.0,0.0794,13.691874,0.224058,-22.612895,0.840177,0.061896
2025-04-28,sh.600028,5.457912,5.505957,5.429085,5.486739,101498737.0,0.107,13.76419,0.225241,-22.732329,0.844614,0.061896
2025-04-29,sh.600028,5.457912,5.486739,5.409867,5.409867,114049876.0,0.1203,15.08617,0.226101,-89.573024,0.817924,0.016032
2025-04-30,sh.600028,5.419476,5.448303,5.390649,5.438694,85032203.0,0.0897,15.166559,0.227306,-90.050322,0.822282,0.016032
2025-05-06,sh.600028,5.448303,5.448303,5.400258,5.419476,102875950.0,0.1085,15.112966,0.226503,-89.732123,0.819377,0.016032
2025-05-07,sh.600028,5.467521,5.486739,5.419476,5.486739,146633258.0,0.1546,15.300539,0.229314,-90.84582,0.829546,0.016032
2025-05-08,sh.600028,5.467521,5.505957,5.448303,5.467521,74485958.0,0.0785,15.246947,0.228511,-90.527621,0.826641,0.016032
2025-05-09,sh.600028,5.467521,5.496348,5.457912,5.467521,77589229.0,0.0818,15.246947,0.228511,-90.527621,0.826641,0.016032
2025-05-12,sh.600028,5.47713,5.496348,5.457912,5.47713,71792492.0,0.0757,15.273743,0.228913,-90.68672,0.828093,0.016032
2025-05-13,sh.600028,5.496348,5.525175,5.486739,5.505957,106926632.0,0.1127,15.354131,0.230117,-91.164019,0.832452,0.016032
2025-05-14,sh.600028,5.515566,5.602047,5.496348,5.602047,157181729.0,0.1657,15.622091,0.234133,-92.755014,0.84698,0.016032
2025-05-15,sh.600028,5.592438,5.621265,5.554002,5.554002,101816814.0,0.1074,15.488111,0.232125,-91.959516,0.839716,0.016032
2025-05-16,sh.600028,5.554002,5.563611,5.429085,5.438694,177436068.0,0.1871,15.166559,0.227306,-90.050322,0.822282,0.016032
2025-05-19,sh.600028,5.448303,5.486739,5.438694,5.457912,75256958.0,0.0793,15.220151,0.228109,-90.368521,0.825188,0.016032
2025-05-20,sh.600028,5.467521,5.47713,5.438694,5.448303,61297412.0,0.0646,15.193355,0.227708,-90.209422,0.823735,0.016032
2025-05-21,sh.600028,5.457912,5.525175,5.457912,5.486739,118003241.0,0.1244,15.300539,0.229314,-90.84582,0.829546,0.016032
2025-05-22,sh.600028,5.486739,5.554002,5.467521,5.554002,137971663.0,0.1455,15.488111,0.232125,-91.959516,0.839716,0.016032
2025-05-23,sh.600028,5.544393,5.57322,5.467521,5.467521,112996974.0,0.1191,15.246947,0.228511,-90.527621,0.826641,0.016032
2025-05-26,sh.600028,5.467521,5.505957,5.448303,5.457912,89065961.0,0.0939,15.220151,0.228109,-90.368521,0.825188,0.016032
2025-05-27,sh.600028,5.467521,5.496348,5.457912,5.457912,65958132.0,0.0695,15.220151,0.228109,-90.368521,0.825188,0.016032
2025-05-28,sh.600028,5.467521,5.57322,5.467521,5.563611,166227593.0,0.1753,15.514907,0.232527,-92.118616,0.841169,0.016032
2025-05-29,sh.600028,5.563611,5.582829,5.505957,5.505957,112245865.0,0.1184,15.354131,0.230117,-91.164019,0.832452,0.016032
2025-05-30,sh.600028,5.505957,5.57322,5.496348,5.554002,121940620.0,0.1286,15.488111,0.232125,-91.959516,0.839716,0.016032
