date,code,open,high,low,close,volume
2026-02-25,sh.000905,8412.08,8551.5345,8401.5965,8527.5593,27789338900.0
2026-02-26,sh.000905,8542.8324,8582.7633,8490.9215,8557.216,25411176500.0
2026-02-27,sh.000905,8499.7957,8658.4503,8499.7957,8658.4503,28036116700.0
2026-03-02,sh.000905,8585.8534,8683.9816,8551.4601,8658.3336,33903229600.0
2026-03-03,sh.000905,8651.06,8654.5678,8267.1091,8281.6139,34615390600.0
2026-03-04,sh.000905,8167.9811,8377.1743,8167.9811,8248.945,27210771400.0
2026-03-05,sh.000905,8383.5464,8391.0367,8251.1062,8309.1713,25634345400.0
2026-03-06,sh.000905,8273.1829,8394.3341,8258.6447,8360.3347,23451496000.0
2026-03-09,sh.000905,8234.1927,8305.9247,8066.1408,8279.4811,28651851000.0
2026-03-10,sh.000905,8341.1447,8412.9325,8330.9345,8410.303,23994135800.0
2026-03-11,sh.000905,8419.3105,8439.6188,8379.0332,8403.3296,26448738900.0
2026-03-12,sh.000905,8396.7222,8433.0374,8290.5879,8359.4721,28243650400.0
2026-03-13,sh.000905,8317.7799,8371.7157,8217.9686,8239.798,28813099000.0
2026-03-16,sh.000905,8227.6932,8233.6551,8060.7824,8185.152,25620598200.0
2026-03-17,sh.000905,8199.9926,8207.4607,8016.002,8016.0262,23013280000.0
2026-03-18,sh.000905,8044.9186,8105.9551,7958.4504,8096.4276,20649392300.0
2026-03-19,sh.000905,7975.8477,8000.4297,7844.1519,7877.09,21974486600.0
