code,pubDate,statDate,roeAvg,npMargin,gpMargin,netProfit,epsTTM,MBRevenue,totalShare,liqaShare
sz.000617,2024-08-29,2024-06-30,0.030052,16.283309,0.134583,6348103390.960000,0.321489,19468980700.890000,12642079079.00,12642079079.00
sz.000617,2024-10-30,2024-09-30,0.042961,14.706976,0.239717,8809054337.380000,0.316573,,12642079079.00,12642079079.00
sz.000617,2025-04-03,2024-12-31,0.046098,12.306264,0.220480,9900036145.330000,0.367978,39024072723.770000,12642079079.00,12642079079.00
sz.000617,2025-04-30,2025-03-31,0.012433,12.158643,0.005859,2807170163.040000,0.331656,,12642079079.00,12642079079.00
sz.000617,2025-08-29,2025-06-30,0.025330,12.467697,0.224439,5555521299.860000,0.332474,17729752982.840000,12642079079.00,12642079079.00
sz.000617,2025-10-31,2025-09-30,0.038698,11.871044,0.252951,8101949925.370000,0.340683,,12642079079.00,12642079079.00
sz.000625,2024-04-30,2024-03-31,0.015965,0.023107,0.144123,855480142.310000,0.556132,,9917289033.00,8214004680.00
sz.000625,2024-08-31,2024-06-30,0.039441,0.029284,0.138008,2246762267.690000,0.656049,76722649723.790000,9917289033.00,8212583931.00
sz.000625,2024-10-29,2024-09-30,0.049550,0.024431,0.143839,2710878531.430000,0.506681,,9917289033.00,8212433508.00
sz.000625,2025-04-11,2024-12-31,0.098651,0.038215,0.149399,6104174527.850000,0.738481,159733034213.250000,9914086060.00,8219312028.00
sz.000625,2025-04-26,2025-03-31,0.017485,0.035580,0.138646,1215417748.800000,0.758114,,9914086060.00,8260727780.00
sz.000625,2025-08-23,2025-06-30,0.030025,0.024661,0.145790,1792653891.270000,0.683959,72691310387.080000,9914086060.00,8260513020.00
sz.000625,2025-10-25,2025-09-30,0.039752,0.018661,0.149924,2144649294.340000,0.685563,,9914086060.00,8260117800.00
sz.000630,2024-04-29,2024-03-31,0.033847,0.041911,0.083233,1371320946.170000,0.219041,,12667009987.00,10526464166.00
sz.000630,2024-08-28,2024-06-30,0.067268,0.039023,0.085309,2790528175.300000,0.221009,71509487305.690000,12792920401.00,10526464166.00
sz.000630,2024-10-29,2024-09-30,0.083434,0.033475,0.075741,3558693607.540000,0.223020,,12792920401.00,10526450266.00
sz.000630,2025-04-23,2024-12-31,0.085490,0.026189,0.070873,3811317329.560000,0.219543,145531399282.950000,12792920401.00,10526450266.00
sz.000630,2025-04-29,2025-03-31,0.032836,0.038098,0.076548,1341880044.940000,0.222036,,12794132824.00,10527676589.00
sz.000630,2025-08-18,2025-06-30,0.042535,0.020184,0.079562,1535605601.960000,0.161651,76079875664.310000,12794132824.00,10527672764.00
sz.000630,2025-10-28,2025-09-30,0.050579,0.018603,0.071507,2267620103.930000,0.137902,,13409471510.00,11143011450.00
sz.000651,2024-04-30,2024-03-31,0.039234,0.127613,0.294542,4640546489.680000,5.253270,,5631405741.00,5583149620.00
sz.000651,2024-08-31,2024-06-30,0.120535,0.139179,0.304693,13887709317.030000,5.412551,89943352922.090000,5631405741.00,5565128245.00
sz.000651,2024-10-31,2024-09-30,0.180644,0.144592,0.302139,21214823423.240000,5.484630,,5631405741.00,5545446256.00
